                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1752,                 3.8415,                 3.5825,                 1.9428,                0.37162,                0.04545,                0.04753,                0.03673,                0.74323,                0.09091,                 0.0985,                0.04185,                 2.4224,                   3.69,                 3.7516,                 2.1882,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.0977,                 3.9821,                 3.5012,                 1.8022,                0.36977,                0.04545,                0.02538,                0.02102,                0.74491,                0.09091,                0.09709,                0.02592,                 2.4747,                 3.7386,                 3.7651,                 2.2064,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 2.0753,                 3.8818,                 3.4171,                 1.7365,                0.37584,                0.04545,                0.02552,                0.02109,                0.75769,                0.09091,                0.09763,                0.02613,                 2.4987,                 3.7936,                 3.7713,                 2.2056,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 2.2282,                 4.1294,                 3.5807,                  1.957,                0.20897,                0.36364,                0.19754,                 0.0805,                0.49372,                0.31818,                0.26348,                0.08135,                 2.0829,                 3.4385,                 5.0016,                 1.8518,             0.00013584,             0.00013584,             0.00013584
                      5,                  1.926,                  3.005,                 3.0783,                 1.5648,                0.29659,                0.21149,                0.14845,                0.05385,                0.36265,                0.13636,                0.12765,                0.03307,                 2.0674,                  3.702,                 3.9687,                 1.4584,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.8382,                 2.7087,                 2.4587,                 1.4311,                    0.6,                0.13636,                0.19772,                0.07583,                    0.6,                0.13636,                0.16447,                0.06402,                 2.0123,                 4.4655,                 35.772,                 1.8353,             0.00020911,             0.00020911,             0.00020911
                      7,                 1.7433,                 2.4348,                 2.9141,                 1.6311,                0.35396,                0.45455,                0.41247,                0.18314,                 0.4197,                0.54545,                0.49232,                0.15939,                 2.1534,                 3.9143,                 16.883,                 1.8617,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.6682,                 2.6033,                 2.0508,                 1.3237,                0.05066,                0.54545,                0.04932,                0.01744,                0.03851,                0.40909,                0.03203,                0.01219,                 2.0919,                 4.1546,                 187.37,                 1.7244,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.6493,                 2.6541,                 1.6779,                 1.4586,                0.20359,                0.72049,                 0.4138,                0.18113,                0.21643,                0.76595,                0.42886,                0.13818,                 2.0389,                 3.3314,                 15.005,                 1.7538,             0.00031307,             0.00031307,             0.00031307
                     10,                  1.639,                 2.4367,                 1.6327,                 1.4844,                0.64286,                0.40909,                0.43727,                0.17606,                0.35714,                0.22727,                0.23366,                0.07397,                  2.023,                 4.5323,                 13.025,                 1.7377,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.6325,                  2.487,                  1.943,                 1.4148,                0.67757,                0.66908,                0.71442,                0.31424,                0.59999,                0.59091,                0.57694,                0.19527,                 2.0061,                 3.8201,                  5.192,                 1.7006,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.7103,                 2.5064,                 1.6611,                 1.4262,                0.04908,                0.95455,                0.09769,                0.04088,                0.04674,                0.90909,                0.09428,                0.05611,                 1.8713,                 3.4703,                  257.2,                 1.7123,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.6517,                 2.4185,                 1.5575,                 1.4757,                0.03116,                0.90909,                0.08434,                0.04539,                0.02803,                0.81818,                0.08195,                0.03195,                 1.9475,                 3.9943,                    inf,                 2.2788,              0.0004406,              0.0004406,              0.0004406
                     14,                 1.5009,                 2.5285,                 1.4546,                 1.3857,                0.01813,                0.86364,                 0.0661,                0.02675,                0.01531,                0.68182,                 0.0614,                0.02945,                    nan,                    nan,                    nan,                    nan,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.7208,                 2.4038,                 1.6469,                 1.6906,                 0.0095,                0.63636,                0.07952,                0.03298,                0.01017,                0.68182,                0.08019,                0.02158,                    nan,                    nan,                    nan,                    nan,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.6548,                 2.4106,                 1.3268,                 1.4215,                  0.004,                0.27273,                0.00357,                0.00128,                  0.004,                0.27273,                0.00343,                0.00106,                    nan,                    nan,                    nan,                    nan,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.6668,                 2.5206,                 1.4908,                 1.4899,                0.00333,                0.22727,                0.00782,                0.00347,                0.00467,                0.31818,                0.00892,                 0.0025,                 2.2076,                 5.0674,                    inf,                 4.2139,             0.00055546,             0.00055546,             0.00055546
                     18,                 1.5855,                 2.2056,                 1.1085,                 1.3502,                0.01182,                0.77273,                 0.1098,                0.06369,                0.01113,                0.72727,                0.10367,                0.06545,                 2.0083,                 7.1341,                    inf,                 2.2125,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.6382,                 2.3141,                 1.1879,                 1.4227,                0.00997,                0.63636,                0.00956,                0.00364,                0.00838,                    0.5,                0.00684,                0.00221,                 2.3726,                 14.076,                    inf,                 2.6912,             0.00060813,             0.00060813,             0.00060813
                     20,                 1.7991,                 2.4987,                 1.3556,                 1.5341,                0.02972,                0.72727,                0.06978,                0.03016,                0.01998,                0.54545,                 0.0607,                0.03623,                  2.572,                 22.133,                 88.971,                 3.8075,             0.00063328,             0.00063328,             0.00063328
